CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,F989,F991,F992,F993,F994,F995,
,,,,,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households,
115751,E00056949,E00056949,Output Areas and Small Areas,OASA,95,22,43,25,4,1,
115752,E00056950,E00056950,Output Areas and Small Areas,OASA,125,17,50,50,7,1,
115753,E00056951,E00056951,Output Areas and Small Areas,OASA,129,9,63,47,9,1,
115754,E00056952,E00056952,Output Areas and Small Areas,OASA,128,6,54,55,11,2,
115755,E00056953,E00056953,Output Areas and Small Areas,OASA,125,20,59,41,3,2,
115756,E00056954,E00056954,Output Areas and Small Areas,OASA,123,9,50,52,8,4,
115757,E00056955,E00056955,Output Areas and Small Areas,OASA,126,9,42,55,16,4,
115758,E00056956,E00056956,Output Areas and Small Areas,OASA,125,27,61,33,1,3,
115759,E00056957,E00056957,Output Areas and Small Areas,OASA,122,15,56,43,7,1,
115760,E00056958,E00056958,Output Areas and Small Areas,OASA,142,30,62,41,7,2,
115761,E00056959,E00056959,Output Areas and Small Areas,OASA,78,6,27,33,8,4,
115762,E00056960,E00056960,Output Areas and Small Areas,OASA,175,20,59,73,15,8,
115763,E00056961,E00056961,Output Areas and Small Areas,OASA,135,11,42,59,21,2,
115764,E00056962,E00056962,Output Areas and Small Areas,OASA,145,11,73,49,7,5,
115765,E00056963,E00056963,Output Areas and Small Areas,OASA,181,29,95,46,11,0,
115766,E00056964,E00056964,Output Areas and Small Areas,OASA,132,18,75,34,5,0,
115767,E00056965,E00056965,Output Areas and Small Areas,OASA,138,36,63,34,2,3,
115768,E00056966,E00056966,Output Areas and Small Areas,OASA,140,48,55,29,8,0,
115769,E00056967,E00056967,Output Areas and Small Areas,OASA,84,25,44,13,2,0,
115770,E00056968,E00056968,Output Areas and Small Areas,OASA,147,1,26,73,28,19,
115771,E00056969,E00056969,Output Areas and Small Areas,OASA,102,5,36,48,10,3,
115772,E00056970,E00056970,Output Areas and Small Areas,OASA,126,5,34,61,14,12,
115773,E00056971,E00056971,Output Areas and Small Areas,OASA,97,6,42,40,8,1,
115774,E00056972,E00056972,Output Areas and Small Areas,OASA,61,1,24,25,8,3,
115775,E00056973,E00056973,Output Areas and Small Areas,OASA,67,1,19,32,10,5,
115776,E00056974,E00056974,Output Areas and Small Areas,OASA,144,33,55,30,17,9,
115777,E00056975,E00056975,Output Areas and Small Areas,OASA,156,24,67,46,13,6,
115778,E00056976,E00056976,Output Areas and Small Areas,OASA,175,4,75,80,12,4,
115779,E00056977,E00056977,Output Areas and Small Areas,OASA,88,3,19,43,12,11,
115780,E00056978,E00056978,Output Areas and Small Areas,OASA,144,14,66,49,14,1,
115781,E00056979,E00056979,Output Areas and Small Areas,OASA,134,24,59,44,6,1,
115782,E00056981,E00056981,Output Areas and Small Areas,OASA,128,29,58,30,8,3,
115783,E00056982,E00056982,Output Areas and Small Areas,OASA,134,28,68,31,6,1,
115784,E00056983,E00056983,Output Areas and Small Areas,OASA,127,15,64,40,7,1,
115785,E00056984,E00056984,Output Areas and Small Areas,OASA,138,75,42,16,2,3,
115786,E00056985,E00056985,Output Areas and Small Areas,OASA,117,9,61,38,6,3,
115787,E00056986,E00056986,Output Areas and Small Areas,OASA,122,38,53,24,6,1,
115788,E00056987,E00056987,Output Areas and Small Areas,OASA,128,22,57,41,5,3,
115789,E00056988,E00056988,Output Areas and Small Areas,OASA,131,56,56,13,5,1,
115790,E00056989,E00056989,Output Areas and Small Areas,OASA,126,30,49,42,5,0,
115791,E00056990,E00056990,Output Areas and Small Areas,OASA,114,24,58,30,2,0,
115792,E00056991,E00056991,Output Areas and Small Areas,OASA,148,22,68,50,8,0,
115793,E00056992,E00056992,Output Areas and Small Areas,OASA,135,81,43,9,1,1,
115794,E00056993,E00056993,Output Areas and Small Areas,OASA,134,54,59,15,5,1,
115795,E00056994,E00056994,Output Areas and Small Areas,OASA,123,33,60,24,5,1,
115796,E00056995,E00056995,Output Areas and Small Areas,OASA,124,58,43,20,2,1,
115797,E00056997,E00056997,Output Areas and Small Areas,OASA,128,78,44,5,1,0,
115798,E00056998,E00056998,Output Areas and Small Areas,OASA,190,128,47,13,1,1,
