CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Dependent children : With dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households,Dependent children : No dependent children - Long-term health problem or disability; number of people : 1 person in household with a long-term health problem or disability - Unit : Households
30392,E01011459,Leeds 021C,Lower Super Output Areas and Data Zones,LSOADZ,28,164
30393,E01011460,Leeds 028B,Lower Super Output Areas and Data Zones,LSOADZ,25,124
30394,E01011461,Leeds 021D,Lower Super Output Areas and Data Zones,LSOADZ,20,102
30395,E01011462,Leeds 028C,Lower Super Output Areas and Data Zones,LSOADZ,40,137
30396,E01011463,Leeds 028D,Lower Super Output Areas and Data Zones,LSOADZ,39,191
30397,E01011464,Leeds 028E,Lower Super Output Areas and Data Zones,LSOADZ,13,113
30398,E01011465,Leeds 027E,Lower Super Output Areas and Data Zones,LSOADZ,20,212
30399,E01011466,Leeds 094A,Lower Super Output Areas and Data Zones,LSOADZ,32,167
30400,E01011467,Leeds 112A,Lower Super Output Areas and Data Zones,LSOADZ,22,155
30401,E01011468,Leeds 112B,Lower Super Output Areas and Data Zones,LSOADZ,41,225
30402,E01011469,Leeds 094B,Lower Super Output Areas and Data Zones,LSOADZ,16,125
30403,E01011470,Leeds 112C,Lower Super Output Areas and Data Zones,LSOADZ,27,152
30404,E01011471,Leeds 092A,Lower Super Output Areas and Data Zones,LSOADZ,47,166
30405,E01011472,Leeds 092B,Lower Super Output Areas and Data Zones,LSOADZ,42,204
30406,E01011473,Leeds 092C,Lower Super Output Areas and Data Zones,LSOADZ,55,135
30407,E01011474,Leeds 092D,Lower Super Output Areas and Data Zones,LSOADZ,41,163
30408,E01011475,Leeds 094C,Lower Super Output Areas and Data Zones,LSOADZ,48,156
30409,E01011476,Leeds 094D,Lower Super Output Areas and Data Zones,LSOADZ,33,124
30410,E01011477,Leeds 045A,Lower Super Output Areas and Data Zones,LSOADZ,32,175
30411,E01011478,Leeds 056A,Lower Super Output Areas and Data Zones,LSOADZ,16,152
30412,E01011479,Leeds 056B,Lower Super Output Areas and Data Zones,LSOADZ,6,85
30413,E01011480,Leeds 045B,Lower Super Output Areas and Data Zones,LSOADZ,28,124
30414,E01011481,Leeds 056C,Lower Super Output Areas and Data Zones,LSOADZ,16,118
30415,E01011482,Leeds 056D,Lower Super Output Areas and Data Zones,LSOADZ,26,125
30416,E01011483,Leeds 056E,Lower Super Output Areas and Data Zones,LSOADZ,25,149
30417,E01011484,Leeds 033A,Lower Super Output Areas and Data Zones,LSOADZ,52,181
30418,E01011485,Leeds 033B,Lower Super Output Areas and Data Zones,LSOADZ,29,191
30419,E01011488,Leeds 045C,Lower Super Output Areas and Data Zones,LSOADZ,26,122
30420,E01011489,Leeds 045D,Lower Super Output Areas and Data Zones,LSOADZ,36,216
30421,E01011490,Leeds 099A,Lower Super Output Areas and Data Zones,LSOADZ,33,156
30422,E01011491,Leeds 101A,Lower Super Output Areas and Data Zones,LSOADZ,38,149
30423,E01011492,Leeds 101B,Lower Super Output Areas and Data Zones,LSOADZ,59,153
30424,E01011493,Leeds 101C,Lower Super Output Areas and Data Zones,LSOADZ,47,141
30425,E01011494,Leeds 101D,Lower Super Output Areas and Data Zones,LSOADZ,37,125
30426,E01011496,Leeds 100A,Lower Super Output Areas and Data Zones,LSOADZ,25,58
30427,E01011497,Leeds 101E,Lower Super Output Areas and Data Zones,LSOADZ,36,186
30428,E01011499,Leeds 105C,Lower Super Output Areas and Data Zones,LSOADZ,58,132
30429,E01011500,Leeds 105D,Lower Super Output Areas and Data Zones,LSOADZ,27,168
30430,E01011502,Leeds 099C,Lower Super Output Areas and Data Zones,LSOADZ,39,150
30431,E01011504,Leeds 032A,Lower Super Output Areas and Data Zones,LSOADZ,45,213
30432,E01011505,Leeds 025A,Lower Super Output Areas and Data Zones,LSOADZ,37,151
30433,E01011506,Leeds 025B,Lower Super Output Areas and Data Zones,LSOADZ,29,79
30434,E01011507,Leeds 025C,Lower Super Output Areas and Data Zones,LSOADZ,28,123
30435,E01011508,Leeds 024A,Lower Super Output Areas and Data Zones,LSOADZ,34,68
30436,E01011509,Leeds 023A,Lower Super Output Areas and Data Zones,LSOADZ,13,188
30437,E01011510,Leeds 025D,Lower Super Output Areas and Data Zones,LSOADZ,31,302
30438,E01011511,Leeds 023B,Lower Super Output Areas and Data Zones,LSOADZ,25,124
30439,E01011512,Leeds 023C,Lower Super Output Areas and Data Zones,LSOADZ,26,116
30440,E01011513,Leeds 031A,Lower Super Output Areas and Data Zones,LSOADZ,30,127
30441,E01011514,Leeds 025E,Lower Super Output Areas and Data Zones,LSOADZ,19,96
30442,E01011515,Leeds 023D,Lower Super Output Areas and Data Zones,LSOADZ,24,112
30443,E01011516,Leeds 023E,Lower Super Output Areas and Data Zones,LSOADZ,31,105
30444,E01011517,Leeds 024B,Lower Super Output Areas and Data Zones,LSOADZ,31,134
30445,E01011518,Leeds 093A,Lower Super Output Areas and Data Zones,LSOADZ,36,165
30446,E01011519,Leeds 095A,Lower Super Output Areas and Data Zones,LSOADZ,31,144
30447,E01011520,Leeds 096A,Lower Super Output Areas and Data Zones,LSOADZ,16,127
30448,E01011521,Leeds 096B,Lower Super Output Areas and Data Zones,LSOADZ,35,151
30449,E01011522,Leeds 095B,Lower Super Output Areas and Data Zones,LSOADZ,15,102
30450,E01011523,Leeds 096C,Lower Super Output Areas and Data Zones,LSOADZ,31,195
30451,E01011524,Leeds 093B,Lower Super Output Areas and Data Zones,LSOADZ,25,91
30452,E01011525,Leeds 095C,Lower Super Output Areas and Data Zones,LSOADZ,18,107
30453,E01011526,Leeds 093C,Lower Super Output Areas and Data Zones,LSOADZ,24,64
30454,E01011527,Leeds 096D,Lower Super Output Areas and Data Zones,LSOADZ,24,135
30455,E01011528,Leeds 095D,Lower Super Output Areas and Data Zones,LSOADZ,28,80
30456,E01011529,Leeds 096E,Lower Super Output Areas and Data Zones,LSOADZ,33,116
30457,E01011530,Leeds 106A,Lower Super Output Areas and Data Zones,LSOADZ,19,119
30458,E01011531,Leeds 093D,Lower Super Output Areas and Data Zones,LSOADZ,22,188
30459,E01011532,Leeds 095E,Lower Super Output Areas and Data Zones,LSOADZ,22,199
30460,E01011533,Leeds 104A,Lower Super Output Areas and Data Zones,LSOADZ,14,170
30461,E01011534,Leeds 106B,Lower Super Output Areas and Data Zones,LSOADZ,23,137
30462,E01011535,Leeds 108A,Lower Super Output Areas and Data Zones,LSOADZ,22,107
30463,E01011536,Leeds 108B,Lower Super Output Areas and Data Zones,LSOADZ,24,148
30464,E01011537,Leeds 107A,Lower Super Output Areas and Data Zones,LSOADZ,31,242
30465,E01011538,Leeds 107B,Lower Super Output Areas and Data Zones,LSOADZ,25,175
30466,E01011540,Leeds 102B,Lower Super Output Areas and Data Zones,LSOADZ,35,178
30467,E01011541,Leeds 104B,Lower Super Output Areas and Data Zones,LSOADZ,22,295
30468,E01011545,Leeds 104C,Lower Super Output Areas and Data Zones,LSOADZ,27,135
30469,E01011546,Leeds 106C,Lower Super Output Areas and Data Zones,LSOADZ,27,120
30470,E01011547,Leeds 104D,Lower Super Output Areas and Data Zones,LSOADZ,34,217
30471,E01011548,Leeds 106D,Lower Super Output Areas and Data Zones,LSOADZ,25,141
30472,E01011549,Leeds 108C,Lower Super Output Areas and Data Zones,LSOADZ,21,49
30473,E01011550,Leeds 106E,Lower Super Output Areas and Data Zones,LSOADZ,21,83
30474,E01011551,Leeds 107C,Lower Super Output Areas and Data Zones,LSOADZ,26,83
30475,E01011552,Leeds 107D,Lower Super Output Areas and Data Zones,LSOADZ,49,131
30476,E01011553,Leeds 108D,Lower Super Output Areas and Data Zones,LSOADZ,29,92
30477,E01011554,Leeds 012A,Lower Super Output Areas and Data Zones,LSOADZ,19,106
30478,E01011555,Leeds 018A,Lower Super Output Areas and Data Zones,LSOADZ,21,96
30479,E01011556,Leeds 015A,Lower Super Output Areas and Data Zones,LSOADZ,18,137
30480,E01011557,Leeds 015B,Lower Super Output Areas and Data Zones,LSOADZ,27,136
30481,E01011558,Leeds 018B,Lower Super Output Areas and Data Zones,LSOADZ,53,169
30482,E01011559,Leeds 018C,Lower Super Output Areas and Data Zones,LSOADZ,37,173
30483,E01011560,Leeds 018D,Lower Super Output Areas and Data Zones,LSOADZ,56,273
30484,E01011561,Leeds 006A,Lower Super Output Areas and Data Zones,LSOADZ,10,90
30485,E01011562,Leeds 012B,Lower Super Output Areas and Data Zones,LSOADZ,19,112
30486,E01011563,Leeds 012C,Lower Super Output Areas and Data Zones,LSOADZ,16,128
30487,E01011564,Leeds 012D,Lower Super Output Areas and Data Zones,LSOADZ,22,116
30488,E01011565,Leeds 015C,Lower Super Output Areas and Data Zones,LSOADZ,17,124
30489,E01011566,Leeds 015D,Lower Super Output Areas and Data Zones,LSOADZ,27,111
30490,E01011567,Leeds 012E,Lower Super Output Areas and Data Zones,LSOADZ,16,104
30491,E01011568,Leeds 015E,Lower Super Output Areas and Data Zones,LSOADZ,22,172
30492,E01011569,Leeds 004A,Lower Super Output Areas and Data Zones,LSOADZ,21,166
30493,E01011570,Leeds 007A,Lower Super Output Areas and Data Zones,LSOADZ,41,161
30494,E01011571,Leeds 004B,Lower Super Output Areas and Data Zones,LSOADZ,16,179
