CDU_ID,GEO_CODE,GEO_LABEL,GEO_TYPE,GEO_TYP2,Car or van availability : Total\ Car or van availability - Unit : Households,Car or van availability : No cars or vans in household - Unit : Households,Car or van availability : 1 car or van in household - Unit : Households,Car or van availability : 2 cars or vans in household - Unit : Households,Car or van availability : 3 cars or vans in household - Unit : Households,Car or van availability : 4 or more cars or vans in household - Unit : Households
30372,E01011435,Leeds 044A,Lower Super Output Areas and Data Zones,LSOADZ,562,201,186,108,42,25
30373,E01011440,Leeds 044D,Lower Super Output Areas and Data Zones,LSOADZ,611,228,233,91,41,18
30374,E01011441,Leeds 044E,Lower Super Output Areas and Data Zones,LSOADZ,649,244,240,116,33,16
30375,E01011442,Leeds 110A,Lower Super Output Areas and Data Zones,LSOADZ,543,246,192,71,13,21
30376,E01011443,Leeds 110B,Lower Super Output Areas and Data Zones,LSOADZ,479,255,132,49,22,21
30377,E01011444,Leeds 110C,Lower Super Output Areas and Data Zones,LSOADZ,586,317,151,66,31,21
30378,E01011445,Leeds 054A,Lower Super Output Areas and Data Zones,LSOADZ,436,183,142,63,34,14
30379,E01011446,Leeds 054B,Lower Super Output Areas and Data Zones,LSOADZ,465,215,139,69,30,12
30380,E01011447,Leeds 054C,Lower Super Output Areas and Data Zones,LSOADZ,405,194,135,53,16,7
30381,E01011448,Leeds 054D,Lower Super Output Areas and Data Zones,LSOADZ,460,262,102,60,20,16
30382,E01011449,Leeds 054E,Lower Super Output Areas and Data Zones,LSOADZ,566,339,181,37,8,1
30383,E01011450,Leeds 038D,Lower Super Output Areas and Data Zones,LSOADZ,523,179,234,97,12,1
30384,E01011451,Leeds 110D,Lower Super Output Areas and Data Zones,LSOADZ,466,177,207,61,17,4
30385,E01011452,Leeds 027A,Lower Super Output Areas and Data Zones,LSOADZ,616,51,275,244,35,11
30386,E01011453,Leeds 028A,Lower Super Output Areas and Data Zones,LSOADZ,661,90,322,217,25,7
30387,E01011454,Leeds 027B,Lower Super Output Areas and Data Zones,LSOADZ,669,75,325,225,41,3
30388,E01011455,Leeds 021A,Lower Super Output Areas and Data Zones,LSOADZ,481,42,189,200,34,16
30389,E01011456,Leeds 021B,Lower Super Output Areas and Data Zones,LSOADZ,728,126,302,242,43,15
